window,start_sample,end_sample,start_time_sec,end_time_sec,prediction,probability,status,latency_from_function_sec,computation_time_sec
1,0,1280,0.0,5.0,1,0.9666666666666667,OK,0.03396136299988939,0.03398273200036783
2,1280,2560,5.0,10.0,1,0.9,OK,0.03545181900017269,0.0354724669996358
3,2560,3840,10.0,15.0,1,0.9333333333333333,OK,0.034694618999765225,0.03471128000001045
4,3840,5120,15.0,20.0,1,1.0,OK,0.0771960039996884,0.07721663199981776
5,5120,6400,20.0,25.0,1,0.9666666666666667,OK,0.045339983999838296,0.04536340799995742
6,6400,7680,25.0,30.0,1,1.0,OK,0.07006597899999178,0.07008977300029073
7,7680,8960,30.0,35.0,1,1.0,OK,0.08244189400011237,0.0824643260002631
8,8960,10240,35.0,40.0,1,0.7666666666666667,OK,0.036969805999888194,0.036987988999953814
9,10240,11520,40.0,45.0,1,1.0,OK,0.03732021399991936,0.037335723000069265
10,11520,12800,45.0,50.0,1,0.5,OK,0.03338508700016973,0.03340260999993916
11,12800,14080,50.0,55.0,1,1.0,OK,0.06503648800025985,0.06505352000021958
12,14080,15360,55.0,60.0,1,1.0,OK,0.1014848790000542,0.1015015099997072
13,15360,16640,60.0,65.0,1,1.0,OK,0.10118849099990257,0.10120300800008408
14,16640,17920,65.0,70.0,1,0.9666666666666667,OK,0.026677372999984073,0.02670274000001882
15,17920,19200,70.0,75.0,1,1.0,OK,0.07768036900006337,0.07770394299996042
16,19200,20480,75.0,80.0,1,0.9666666666666667,OK,0.07530960500025685,0.07532778899985715
17,20480,21760,80.0,85.0,1,0.8666666666666667,OK,0.07780873699994117,0.0778329620002296
18,21760,23040,85.0,90.0,1,1.0,OK,0.053507508000166126,0.053533284999957687
19,23040,24320,90.0,95.0,1,1.0,OK,0.045028567999906954,0.04505053900038547
20,24320,25600,95.0,100.0,1,0.9,OK,0.04067838399987522,0.04070323999985703
21,25600,26880,100.0,105.0,1,0.8666666666666667,OK,0.04052082199996221,0.04054426599986982
22,26880,28160,105.0,110.0,1,0.6,OK,0.038162380999892775,0.03818651600022349
23,28160,29440,110.0,115.0,1,1.0,OK,0.08409940899991852,0.0841234039999108
24,29440,30720,115.0,120.0,1,0.9666666666666667,OK,0.03928055899996252,0.039296709000154806
25,30720,32000,120.0,125.0,1,0.8666666666666667,OK,0.04894647299988719,0.048966159999963565
26,32000,33280,125.0,130.0,1,0.8333333333333334,OK,0.029377095000199915,0.02940115000001242
27,33280,34560,130.0,135.0,1,1.0,OK,0.02615141099977336,0.026173671000378818
28,34560,35840,135.0,140.0,1,1.0,OK,0.10516504499992152,0.10518951999983983
29,35840,37120,140.0,145.0,1,1.0,OK,0.09435825099990325,0.09438011200018082
30,37120,38400,145.0,150.0,1,1.0,OK,0.04463855699987107,0.04466064799999003
31,38400,39680,150.0,155.0,1,0.9666666666666667,OK,0.046445287999631546,0.04646988400008922
32,39680,40960,155.0,160.0,1,1.0,OK,0.044207801000084146,0.044225504000223737
33,40960,42240,160.0,165.0,1,0.9666666666666667,OK,0.03913152299992362,0.0391522720001376
34,42240,43520,165.0,170.0,1,0.8666666666666667,OK,0.054298721000122896,0.05431501099974412
35,43520,44800,170.0,175.0,1,1.0,OK,0.04196688699994411,0.04198930900020059
36,44800,46080,175.0,180.0,1,0.9666666666666667,OK,0.04678797199994733,0.04680436300031943
37,46080,47360,180.0,185.0,1,1.0,OK,0.031699751000360266,0.03172239300010915
38,47360,48640,185.0,190.0,1,1.0,OK,0.07136691400000927,0.07139059800010727
39,48640,49920,190.0,195.0,1,1.0,OK,0.04372527799978343,0.04374904200039964
40,49920,51200,195.0,200.0,1,1.0,OK,0.04638551800007917,0.04640352099977463
41,51200,52480,200.0,205.0,1,0.6,OK,0.07662519799987422,0.07665149700005713
42,52480,53760,205.0,210.0,1,1.0,OK,0.03355516100009481,0.033577873000012914
43,53760,55040,210.0,215.0,1,1.0,OK,0.04105790500034345,0.0410804170001029
44,55040,56320,215.0,220.0,1,1.0,OK,0.10192770799994832,0.10194383799989737
45,56320,57600,220.0,225.0,1,0.9333333333333333,OK,0.04184994100023687,0.04187274300011268
46,57600,58880,225.0,230.0,1,0.9666666666666667,OK,0.027189949999865348,0.0272114699996564
47,58880,60160,230.0,235.0,1,1.0,OK,0.04400246100021832,0.044026715999734733
48,60160,61440,235.0,240.0,1,1.0,OK,0.06891109199978018,0.06893110000009983
49,61440,62720,240.0,245.0,1,0.9666666666666667,OK,0.04024077500025669,0.040274196000154916
50,62720,64000,245.0,250.0,1,0.9333333333333333,OK,0.04646821999995154,0.04648967999992237
51,64000,65280,250.0,255.0,1,0.9333333333333333,OK,0.030543452000074467,0.030560744000013074
52,65280,66560,255.0,260.0,1,1.0,OK,0.03645654599995396,0.03647312800012514
53,66560,67840,260.0,265.0,1,0.9666666666666667,OK,0.031660938000186434,0.03167708799992397
54,67840,69120,265.0,270.0,1,0.9333333333333333,OK,0.10219315899985304,0.10221237400037353
55,69120,70400,270.0,275.0,1,1.0,OK,0.08601902000009432,0.08604842399972767
56,70400,71680,275.0,280.0,1,1.0,OK,0.04122361200006708,0.041241024999635556
57,71680,72960,280.0,285.0,1,0.9,OK,0.050062237000020104,0.05007782500024405
58,72960,74240,285.0,290.0,1,0.9,OK,0.030929275000289635,0.030946577000122488
59,74240,75520,290.0,295.0,1,0.6333333333333333,OK,0.03325342400012232,0.03327295999997659
60,75520,76800,295.0,300.0,1,0.9666666666666667,OK,0.034072267999817996,0.03408955899976718
61,76800,78080,300.0,305.0,1,1.0,OK,0.04339306399970155,0.04341690799992648
62,78080,79360,305.0,310.0,1,0.8,OK,0.046259054000074684,0.04627521400016121
63,79360,80640,310.0,315.0,1,0.7,OK,0.04115943300030267,0.04118254600007276
64,80640,81920,315.0,320.0,1,1.0,OK,0.0863910670000223,0.08640781800022523
65,81920,83200,320.0,325.0,1,0.9666666666666667,OK,0.03335518099993351,0.033372793999660644
66,83200,84480,325.0,330.0,1,1.0,OK,0.0468919840000126,0.046914876000300865
67,84480,85760,330.0,335.0,1,1.0,OK,0.052560105999873485,0.05257749799966405
68,85760,87040,335.0,340.0,1,1.0,OK,0.05541441400009717,0.055433309999898484
69,87040,88320,340.0,345.0,1,0.9666666666666667,OK,0.058568677000039315,0.05859054799975638
70,88320,89600,345.0,350.0,0,0.1,OK,0.1095944660000896,0.10962179599982846
71,89600,90880,350.0,355.0,0,0.3,OK,0.10269299299989143,0.10271765900006358
72,90880,92160,355.0,360.0,1,0.9333333333333333,OK,0.03144092100001217,0.03145805299982385
73,92160,93440,360.0,365.0,1,1.0,OK,0.04003726800010554,0.040060481000182335
74,93440,94720,365.0,370.0,1,1.0,OK,0.03876835199980633,0.03879138399997828
75,94720,96000,370.0,375.0,1,1.0,OK,0.06997663299989654,0.06999411599963423
76,96000,97280,375.0,380.0,1,1.0,OK,0.04436537199990198,0.044382604000020365
77,97280,98560,380.0,385.0,0,0.4666666666666667,OK,0.04248743000016475,0.042510912000125245
78,98560,99840,385.0,390.0,1,0.9666666666666667,OK,0.03755709200004276,0.0375801440000032
79,99840,101120,390.0,395.0,1,0.9,OK,0.10274418800008789,0.10276076900026965
80,101120,102400,395.0,400.0,1,1.0,OK,0.04054396500032453,0.04056077599989294
81,102400,103680,400.0,405.0,1,1.0,OK,0.061231732000123884,0.061247921000358474
82,103680,104960,405.0,410.0,1,0.9,OK,0.039174221999928704,0.039196492999963084
83,104960,106240,410.0,415.0,1,1.0,OK,0.07923324100011087,0.07925491099967985
84,106240,107520,415.0,420.0,1,0.5666666666666667,OK,0.02499851899983696,0.025016411000251537
85,107520,108800,420.0,425.0,0,0.23333333333333334,OK,0.045607629000187444,0.045630471000094985
86,108800,110080,425.0,430.0,1,0.9333333333333333,OK,0.04314650799960873,0.04316486200013969
87,110080,111360,430.0,435.0,1,0.6,OK,0.06868338100002802,0.0686995310002203
88,111360,112640,435.0,440.0,1,0.8333333333333334,OK,0.03116193599998951,0.031179237999822362
89,112640,113920,440.0,445.0,0,0.3,OK,0.051719591000164655,0.051736642999912874
90,113920,115200,445.0,450.0,1,1.0,OK,0.039403155999934825,0.03942564699991635
91,115200,116480,450.0,455.0,1,1.0,OK,0.03610094999976354,0.03611893300012525
