window,start_sample,end_sample,start_time_sec,end_time_sec,prediction,probability,status,latency_from_function_sec,computation_time_sec
1,0,1280,0.0,5.0,0,0.1,OK,0.07525870399967971,0.07528094500003135
2,1280,2560,5.0,10.0,0,0.0,OK,0.09793408399991677,0.09796071399978246
3,2560,3840,10.0,15.0,1,0.5333333333333333,OK,0.08315609700002824,0.0831799319998936
4,3840,5120,15.0,20.0,0,0.26666666666666666,OK,0.03653094100036469,0.03655421400026171
5,5120,6400,20.0,25.0,0,0.06666666666666667,OK,0.10189059100002851,0.10191060800025298
6,6400,7680,25.0,30.0,1,0.5,OK,0.1014422809998905,0.1014598050001041
7,7680,8960,30.0,35.0,0,0.1,OK,0.028893728999719315,0.028913275000377325
8,8960,10240,35.0,40.0,0,0.36666666666666664,OK,0.08409785999992891,0.08411559199976182
9,10240,11520,40.0,45.0,0,0.23333333333333334,OK,0.05331358400007957,0.05333010499998636
10,11520,12800,45.0,50.0,1,0.9666666666666667,OK,0.03774776099999144,0.037765403000321385
11,12800,14080,50.0,55.0,1,0.6666666666666666,OK,0.07112792599991735,0.07118002300012449
12,14080,15360,55.0,60.0,1,1.0,OK,0.10164321299998846,0.10167504200035182
13,15360,16640,60.0,65.0,1,1.0,OK,0.10124840300022697,0.10127767699987089
14,16640,17920,65.0,70.0,1,0.8333333333333334,OK,0.067566270000043,0.06758583599958001
15,17920,19200,70.0,75.0,1,1.0,OK,0.07159353699989879,0.07161305299996457
16,19200,20480,75.0,80.0,1,0.8,OK,0.1010594829999718,0.10107656499985751
17,20480,21760,80.0,85.0,1,1.0,OK,0.09024565800018536,0.0902698119998604
18,21760,23040,85.0,90.0,1,1.0,OK,0.08092608400011159,0.08094414800007144
19,23040,24320,90.0,95.0,1,0.9666666666666667,OK,0.0484628550002526,0.048484404999726394
20,24320,25600,95.0,100.0,1,0.9333333333333333,OK,0.03451281000025119,0.03453114400008417
21,25600,26880,100.0,105.0,1,0.9333333333333333,OK,0.06461380000018835,0.06463088200007405
