window,start_sample,end_sample,start_time_sec,end_time_sec,prediction,probability,status,latency_from_function_sec,computation_time_sec
1,0,1280,0.0,5.0,0,0.0,OK,0.10647107100021458,0.10648929500030135
2,1280,2560,5.0,10.0,0,0.13333333333333333,OK,0.04684072499958347,0.046864188999734324
3,2560,3840,10.0,15.0,0,0.03333333333333333,OK,0.09184399900004792,0.09186021899995467
4,3840,5120,15.0,20.0,0,0.0,OK,0.100738796999849,0.10075602900042213
5,5120,6400,20.0,25.0,1,0.7333333333333333,OK,0.10059535199980019,0.10061364600005618
6,6400,7680,25.0,30.0,1,0.9,OK,0.020894996999686555,0.02091189900011159
7,7680,8960,30.0,35.0,0,0.03333333333333333,OK,0.03717674200015608,0.037195928000073764
8,8960,10240,35.0,40.0,0,0.06666666666666667,OK,0.0690198700003748,0.06903814400038755
9,10240,11520,40.0,45.0,0,0.1,OK,0.10165161699978853,0.10167615299997124
10,11520,12800,45.0,50.0,1,0.7666666666666667,OK,0.055535274000249046,0.05555946899994524
11,12800,14080,50.0,55.0,0,0.4,OK,0.09970864100023391,0.09973640199996225
12,14080,15360,55.0,60.0,1,0.9666666666666667,OK,0.057989346999875124,0.058011167000131536
13,15360,16640,60.0,65.0,1,0.9666666666666667,OK,0.04729613800009247,0.047324160000243864
14,16640,17920,65.0,70.0,1,0.6666666666666666,OK,0.07459388000006584,0.07461317500019504
15,17920,19200,70.0,75.0,1,1.0,OK,0.06896023900026194,0.06897954499982006
16,19200,20480,75.0,80.0,1,0.8333333333333334,OK,0.043613088999791216,0.04363239499980409
17,20480,21760,80.0,85.0,1,0.9,OK,0.03788929099982852,0.03790842699982022
18,21760,23040,85.0,90.0,1,0.9333333333333333,OK,0.10064113599992197,0.10065876799990292
19,23040,24320,90.0,95.0,1,0.9333333333333333,OK,0.0785363499999221,0.07855588499978694
20,24320,25600,95.0,100.0,1,0.8,OK,0.03139091000002736,0.03141190900032598
21,25600,26880,100.0,105.0,1,0.9666666666666667,OK,0.03611435499988147,0.0361340320000636
22,26880,28160,105.0,110.0,1,0.6333333333333333,OK,0.06857893300002615,0.06861523999987185
23,28160,29440,110.0,115.0,1,0.9,OK,0.05805528900009449,0.05807193000009647
24,29440,30720,115.0,120.0,1,1.0,OK,0.040112247000251955,0.04013172399982068
25,30720,32000,120.0,125.0,1,0.9333333333333333,OK,0.030204832999970677,0.030224180000004708
26,32000,33280,125.0,130.0,1,0.7666666666666667,OK,0.04425605999995241,0.04427924299989172
27,33280,34560,130.0,135.0,1,0.8333333333333334,OK,0.07400455900005909,0.07402225099986026
28,34560,35840,135.0,140.0,1,0.8333333333333334,OK,0.10107471799983614,0.1010954970001876
29,35840,37120,140.0,145.0,1,0.9666666666666667,OK,0.04561725900020974,0.045639800999651925
30,37120,38400,145.0,150.0,1,0.9666666666666667,OK,0.0713063919997694,0.07132809299992005
31,38400,39680,150.0,155.0,1,0.9333333333333333,OK,0.05046531500011042,0.050488337999922805
32,39680,40960,155.0,160.0,1,0.9666666666666667,OK,0.0961967570001434,0.09621469900002921
33,40960,42240,160.0,165.0,1,0.9333333333333333,OK,0.039971386000161147,0.03998886900035359
34,42240,43520,165.0,170.0,0,0.2,OK,0.10066253500008315,0.10067933600021206
35,43520,44800,170.0,175.0,1,0.6333333333333333,OK,0.07649931700007073,0.07651669000006223
36,44800,46080,175.0,180.0,1,0.9666666666666667,OK,0.09504443299965715,0.09506581300001926
37,46080,47360,180.0,185.0,1,0.9333333333333333,OK,0.044551485999818397,0.04456810700003189
38,47360,48640,185.0,190.0,1,0.7666666666666667,OK,0.043387531000007584,0.04340797900022153
39,48640,49920,190.0,195.0,1,0.8333333333333334,OK,0.0617988389999482,0.061821330999919155
40,49920,51200,195.0,200.0,1,0.7,OK,0.04722997499993653,0.04724750800005495
41,51200,52480,200.0,205.0,1,0.9666666666666667,OK,0.07474013000000923,0.07475936499986346
42,52480,53760,205.0,210.0,1,0.9666666666666667,OK,0.047723829000005935,0.04774605000011434
43,53760,55040,210.0,215.0,1,0.8333333333333334,OK,0.05015103300002011,0.0501721330001601
44,55040,56320,215.0,220.0,1,0.9,OK,0.046109671000067465,0.04613145199982682
45,56320,57600,220.0,225.0,1,0.7666666666666667,OK,0.07017414500023733,0.07019606600033512
46,57600,58880,225.0,230.0,1,1.0,OK,0.03841016499973193,0.03843887800030643
47,58880,60160,230.0,235.0,1,0.7,OK,0.047747643000093376,0.04776763000018036
48,60160,61440,235.0,240.0,1,0.9,OK,0.04343048999999155,0.04345286199986731
