window,start_sample,end_sample,start_time_sec,end_time_sec,prediction,probability,status,latency_from_function_sec,computation_time_sec
1,0,1280,0.0,5.0,1,1.0,OK,0.029738350000116043,0.029760762000023533
2,1280,2560,5.0,10.0,1,0.9666666666666667,OK,0.02964469700009431,0.02967013399984353
3,2560,3840,10.0,15.0,1,1.0,OK,0.027218690999688988,0.027243136999913986
4,3840,5120,15.0,20.0,1,0.9333333333333333,OK,0.02283050699998057,0.022852767999665957
5,5120,6400,20.0,25.0,1,1.0,OK,0.03912640999988071,0.039143782000337524
6,6400,7680,25.0,30.0,1,1.0,OK,0.04141980100030196,0.04143531999989136
7,7680,8960,30.0,35.0,1,1.0,OK,0.030925254999601748,0.03094862899979489
8,8960,10240,35.0,40.0,1,1.0,OK,0.0300444360000256,0.030066176000218547
9,10240,11520,40.0,45.0,1,0.8333333333333334,OK,0.025377826999829267,0.02540149099968403
10,11520,12800,45.0,50.0,1,1.0,OK,0.027751215999614942,0.027773416999934852
11,12800,14080,50.0,55.0,1,0.9333333333333333,OK,0.022484746999907657,0.022506588000396732
12,14080,15360,55.0,60.0,1,0.9666666666666667,OK,0.02199847800011412,0.022015069000190124
13,15360,16640,60.0,65.0,1,0.9666666666666667,OK,0.025099793000208592,0.02512686299996858
14,16640,17920,65.0,70.0,1,1.0,OK,0.044104995999987295,0.044127468000169756
15,17920,19200,70.0,75.0,1,0.8666666666666667,OK,0.023647647999951005,0.02367133100005958
16,19200,20480,75.0,80.0,1,0.9666666666666667,OK,0.02480939599990961,0.024826106999626063
17,20480,21760,80.0,85.0,0,0.43333333333333335,OK,0.027317543999743066,0.027336419000221213
18,21760,23040,85.0,90.0,1,0.9666666666666667,OK,0.024564664000081393,0.024587275999692793
19,23040,24320,90.0,95.0,1,1.0,OK,0.023267444999873987,0.023306436999973812
20,24320,25600,95.0,100.0,1,1.0,OK,0.02995607300044867,0.02998841300041022
21,25600,26880,100.0,105.0,1,1.0,OK,0.02736515300011888,0.027383054999972956
