window,start_sample,end_sample,start_time_sec,end_time_sec,prediction,probability,status,latency_from_function_sec,computation_time_sec
1,0,1280,0.0,5.0,0,0.13333333333333333,OK,0.10483333200045308,0.10485825700015994
2,1280,2560,5.0,10.0,1,0.5333333333333333,OK,0.03849683600037679,0.038517013999808114
3,2560,3840,10.0,15.0,1,0.9,OK,0.032720444000005955,0.03273849800007156
4,3840,5120,15.0,20.0,1,0.9,OK,0.04400266700031352,0.044019617999765615
5,5120,6400,20.0,25.0,1,1.0,OK,0.04489961599938397,0.04492127600042295
6,6400,7680,25.0,30.0,1,0.5666666666666667,OK,0.05354778700075258,0.05356464800024696
7,7680,8960,30.0,35.0,0,0.4666666666666667,OK,0.02805962599995837,0.0280843319997075
8,8960,10240,35.0,40.0,1,0.8666666666666667,OK,0.05643986499944731,0.05645845900016866
9,10240,11520,40.0,45.0,1,0.9666666666666667,OK,0.05010801699972944,0.050134715999774926
10,11520,12800,45.0,50.0,1,1.0,OK,0.039521751000393124,0.03954176800016285
11,12800,14080,50.0,55.0,1,0.9333333333333333,OK,0.05333304000032513,0.05335465000007389
12,14080,15360,55.0,60.0,1,1.0,OK,0.04400604300008126,0.044024617999639304
13,15360,16640,60.0,65.0,1,0.7,OK,0.026089953999871796,0.026117314000657643
14,16640,17920,65.0,70.0,1,1.0,OK,0.029568244999609306,0.029589245000352093
15,17920,19200,70.0,75.0,1,0.9,OK,0.037170192999838036,0.03719550900041213
16,19200,20480,75.0,80.0,1,0.9666666666666667,OK,0.03338417200029653,0.03341150300002482
17,20480,21760,80.0,85.0,1,0.9666666666666667,OK,0.029209051000179898,0.02923034099967481
18,21760,23040,85.0,90.0,1,0.7666666666666667,OK,0.02566048900007445,0.025678522999442066
19,23040,24320,90.0,95.0,1,0.8666666666666667,OK,0.03541321400007291,0.0354300550006883
20,24320,25600,95.0,100.0,0,0.2,OK,0.058441135000066424,0.058467003000259865
21,25600,26880,100.0,105.0,1,0.6666666666666666,OK,0.10040264899998874,0.1004308609999498
